country_name,Capital_name,population,gdpPerCapita,Wealth_in_USD,currency_name,currency_code,Human_development_index,Human_development_index_rank
Albania,Tirana,2821977,4444,12484,Albanian lek,ALL,0.733,85
Algeria,Algiers,37900000,4425,14610,Algerian dinar,DZD,0.736,83
Angola,Luanda,25789024,3819,7501,Angolan kwanza,AOA,0.532,149
Antigua and Barbuda,"St. John's, Antigua and Barbuda",81799,14753,23922,East Caribbean dollar,XCD,0.783,58
Argentina,Buenos Aires,40117096,13589,22554,Argentine peso,ARS,0.836,40
Armenia,Yerevan,3018854,3535,8468,Armenian dram,AMD,0.733,85
Australia,Canberra,21507717,51642,47318,Australian dollar,AUD,0.935,2
Autonomous Province of Kosovo and Metohija,Pristina,1956196,2965,,Euro,EUR,,
Bahrain,Manama,1234571,24228,29789,Bahraini dinar,BHD,0.824,45
Bangladesh,Dhaka,149772364,1284,3581,Bangladeshi taka,BDT,0.57,
Barbados,Bridgetown,277821,15912,16653,Bajan dollar,BBD,0.785,57
Belgium,City of Brussels,11250585,40456,43629,Euro,EUR,0.89,21
Belize,Belmopan,324528,4865,8495,Belize dollar,BZD,0.715,101
Benin,Porto-Novo,10008749,745,2025,West African CFA franc,XOF,0.48,166
Bhutan,Thimphu,634982,2836,8196,ISO 4217,,0.605,132
Bhutan,Thimphu,634982,2836,8196,Indian Rupee,,0.605,132
Bhutan,Thimphu,634982,2836,8196,Bhutanese ngultrum,,0.605,132
Bosnia and Herzegovina,Sarajevo,3531159,4617.75,11647,Bosnia and Herzegovina convertible mark,BAM,0.733,85
Bulgaria,Sofia,7202198,6927,19839,Bulgarian lev,BGN,0.782,59
Burkina Faso,Ouagadougou,14017262,644,1777,West African CFA franc,XOF,0.402,183
Burundi,Bujumbura,8053574,287,834,Burundian franc,BIF,0.4,184
Cambodia,Phnom Penh,13395682,1146,3476,Cambodian riel,KHR,0.555,143
Cameroon,Yaoundé,17463836,1299,3246,Central African CFA franc,XAF,0.512,153
Canada,Ottawa,33476688,40409,46199,Canadian dollar,CAD,0.913,9
Canton 10,Livno,84127,4629.37,,Bosnia and Herzegovina convertible mark,,,
Canton 10,Tomislavgrad,84127,4629.37,,Bosnia and Herzegovina convertible mark,,,
Cayman Islands,"George Town, Cayman Islands",56732,47000,43800,Cayman Islands dollar,KYD,,
Central African Republic,Bangui,4987640,376,668,Central African CFA franc,XAF,0.35,187
Central Bosnia Canton,Travnik,273149,4674.48,,Bosnia and Herzegovina convertible mark,,,
Chad,N'Djamena,11039873,1081,2847,Central African CFA franc,XAF,0.392,185
Chile,Santiago,16341929,16573,25415,Chilean peso,CLP,0.832,42
China,Beijing,1339724852,8239,15095,Renminbi,CNY,0.727,90
Colombia,Bogotá,42888592,5194,14171,Colombian peso,COP,0.72,97
Costa Rica,"San José, Costa Rica",4586353,10916,15365,Costa Rican colón,CRC,0.766,69
Croatia,Zagreb,4284889,12405,23171,Croatian kuna,HRK,0.818,47
Cuba,Havana,11239004,7274,20649,Cuban convertible peso,CUC,0.769,67
Cuba,Havana,11239004,7274,20649,Cuban peso,CUC,0.769,67
Cyprus,Nicosia,838897,26109,30882,Euro,EUR,0.85,32
Czech Republic,Prague,10436560,18020,32622,Czech koruna,CZK,0.87,28
Dominica,Roseau,72324,7362,11429,East Caribbean dollar,XCD,0.724,94
Dominican Republic,Santo Domingo,9478612,7074,15777,Dominican peso,DOP,0.715,101
East Timor,Dili,1167242,3330,5479,United States Dollar,USD,0.595,133
Ecuador,Quito,14483499,6640,11788,United States dollar,USD,0.732,88
Egypt,Cairo,72798000,3740,11849,Egyptian pound,EGP,0.69,108
Estonia,Tallinn,1294455,17896,29501,Euro,EUR,0.861,30
Ethiopia,Addis Ababa,73750932,739,1869,Ethiopian birr,ETB,0.442,174
Faroe Islands,Tórshavn,48346,50300,33700,Faroese króna,DKK,0.95,
French Polynesia,Papeete,268270,20981,,CFP franc,XPF,,
Georgia (country),Tbilisi,3713804,3863,9500,Georgian lari,GEL,0.754,76
Georgia (country),Kutaisi,3713804,3863,9500,Georgian lari,GEL,0.754,76
Ghana,Accra,24200000,1384,4390,Ghana cedi,GHS,0.579,140
Greece,Athens,10815197,18035,26606,Euro,EUR,0.865,29
Guinea,Conakry,11628972,558,1281,Guinean franc,GNF,0.412,179
Guyana,"Georgetown, Guyana",747884,3596,7938,Guyanese dollar,GYD,0.636,124
Herzegovina-Neretva Canton,Mostar,236278,5013.71,,Bosnia and Herzegovina convertible mark,,,
Honduras,Tegucigalpa,7529403,2368,4959,Honduran lempira,HNL,0.606,131
India,New Delhi,1210854977,1820,6664,Indian rupee,INR,0.609,
Indonesia,Jakarta,237424363,3620,11633,Indonesian rupiah,IDR,0.684,110
Israel,Jerusalem,7412200,35905,34336,Israeli new shekel,ILS,0.894,18
Italy,Rome,59433744,30294,36191,Euro sign,EUR,0.873,27
Ivory Coast,Abidjan,22671331,1409,3506,West African CFA franc,XOF,0.462,172
Ivory Coast,Yamoussoukro,22671331,1409,3506,West African CFA franc,XOF,0.462,172
Japan,Tokyo,127110047,34871,38731,Japanese yen,JPY,0.891,20
Jordan,Amman,9531712,5599,12162,Jordanian dinar,JOD,0.748,80
Kenya,Nairobi,38610097,1432,3245,Kenyan shilling,KES,0.548,145
Kiribati,Tarawa,103500,1592,5721,Kiribati dollar,AUD,0.59,137
Kosovo,Pristina,1739825,4472,10134,Euro,EUR,0.786,
Kuwait,Kuwait City,2213403,35235,71318,Kuwaiti dinar,KWD,0.816,48
Kyrgyzstan,Bishkek,5362800,1113,3363,Kyrgyzstani som,KGS,0.655,120
Laos,Vientiane,5621000,1692,4986,Lao kip,LAK,0.575,141
Latvia,Riga,2070371,14140,25740,Euro,EUR,0.819,46
Lesotho,Maseru,2031348,1091,3133,Lesotho loti,LSL,0.486,162
Liberia,Monrovia,3476608,478,881,Liberian dollar,LRD,0.43,177
Libya,Tripoli,5658000,6157,14348,Libyan dinar,LYD,0.724,94
Luxembourg,Luxembourg City,439539,104359,100991,Euro,EUR,0.892,19
Madagascar,Antananarivo,12238914,368,1510,Malagasy ariary,MGA,0.51,154
Malawi,Lilongwe,9933868,330,1172,Malawian kwacha,MWK,0.414,174
Malaysia,Kuala Lumpur,28334135,12127,25833,Malaysian ringgit,MYR,0.779,62
Malaysia,Putrajaya,28334135,12127,25833,Malaysian ringgit,MYR,0.779,62
Maldives,Malé,341356,9126,13954,Maldivian rufiyaa,MVR,0.706,103
Mali,Bamako,14517176,707,1843,West African CFA franc,XOF,0.407,176
Malta,Valletta,416055,24876,33215,Euro sign,EUR,0.839,37
Mauritania,Nouakchott,3537368,1224,4287,Mauritanian ouguiya,MRO,0.506,156
Mauritius,Port Louis,1236817,11004,18728,Mauritian rupee,MUR,0.777,63
Moldova,Chișinău,3383332,1712,5082,Moldovan leu,MDL,0.693,107
Moldova,Chișinău,3938679,1712,5082,Moldovan leu,MDL,0.693,107
Monaco,City-state,35352,153177,78700,Euro,EUR,1,
Montenegro,Podgorica,620029,6783,16654,Euro,EUR,0.802,49
Morocco,Rabat,33848242,3077,8194,Moroccan dirham,MAD,0.628,126
Mozambique,Maputo,21397000,684,1327,Mozambican metical,MZN,0.416,180
Myanmar,Naypyidaw,51486253,1416,5952,Burmese kyat,MMK,0.538,143
Namibia,Windhoek,2113077,6118,11786,Namibian dollar,NAD,0.628,126
Nepal,Kathmandu,26494504,837,2573,Nepalese rupee,NPR,0.548,145
Nevis,"Charlestown, Nevis",12106,10315,13429,East Caribbean dollar,XCD,0.825,54
New Caledonia,Nouméa,268767,38921,,CFP franc,XPF,,
New Zealand,Wellington,4242048,36254,36950,New Zealand dollar,NZD,0.913,9
Nicaragua,Managua,6167237,1965,4972,Nicaraguan córdoba,NIO,0.631,125
Niger,Niamey,17138707,420,1111,West African CFA franc,XOF,0.348,188
Nigeria,Abuja,140431790,2640,6351,Nigerian naira,NGN,0.514,152
North Korea,Pyongyang,24052231,621,1800,North Korean won,KPW,0.766,75
Northern Cyprus,North Nicosia,286257,15109,,Turkish lira,,,
Norway,Oslo,5214890,72046,70066,Norwegian krone,NOK,0.944,1
Oman,"Muscat, Oman",2773479,20059,44530,Omani rial,OMR,0.793,52
Panama,Panama City,3405813,11849,20512,ISO 4217,,0.78,60
Panama,Panama City,3405813,11849,20512,Panamanian balboa,,0.78,60
Panama,Panama City,3405813,11849,20512,United States dollar,,0.78,60
Papua New Guinea,Port Moresby,5190783,2283,2834,Papua New Guinean kina,PGK,0.505,158
Peru,Lima,28220764,6819,12638,Peruvian sol,PEN,0.734,84
Philippines,Manila,100981437,3073,7612,Philippine peso,PHP,0.668,115
Poland,Warsaw,38511824,13390,27654,Polish złoty,PLN,0.843,36
Posavina Canton,Orašje,48089,4541.7,,Bosnia and Herzegovina convertible mark,,,
Puerto Rico,"San Juan, Puerto Rico",3725789,28123,35029,United States dollar,USD,0.865,29
Qatar,Doha,1699435,102785,145894,Qatari riyal,QAR,0.85,32
Republic of Ireland,Dublin,4757976,65871,69375,Euro,EUR,0.916,6
Republic of Macedonia,Skopje,2022547,5021,14631,Macedonian denar,MKD,0.747,81
Romania,Bucharest,20121641,9438,22319,Romanian leu,RON,0.793,52
Rwanda,Kigali,10515973,769,1784,Rwandan franc,RWF,0.483,163
Saint Kitts and Nevis,Basseterre,46325,16793,25913,East Caribbean dollar,XCD,0.752,77
Saint Lucia,Castries,183600,8187,11944,East Caribbean dollar,XCD,0.729,89
Saint Vincent and the Grenadines,Kingstown,109991,7123,11291,East Caribbean dollar,XCD,0.72,97
Samoa,Apia,179186,4618,5449,Samoan tala,WST,0.702,105
Senegal,Dakar,13508715,986,2525,West African CFA franc,XOF,0.485,163
Sierra Leone,Freetown,7075641,708,1534,Sierra Leonean leone,SLL,0.413,181
Slovakia,Bratislava,5397036,16138,29209,Euro sign,EURb,0.844,35
Slovenia,Ljubljana,1964036,21369,32027,Euro,EUR,0.88,25
South Africa,Cape Town,51770560,5859,13321,South African rand,ZAR,0.666,116
South Africa,Pretoria,51770560,5859,13321,South African rand,ZAR,0.666,116
South Africa,Bloemfontein,51770560,5859,13321,South African rand,ZAR,0.666,116
South Sudan,Juba,8260490,1139,1886,South Sudanese pound,SSP,0.467,169
Spain,Madrid,46423064,26823,36143,Euro,EUR,0.876,26
Sri Lanka,Colombo,20277597,3870,11189,Sri Lankan rupee,LKR,0.757,73
Sri Lanka,Sri Jayawardenepura Kotte,20277597,3870,11189,Sri Lankan rupee,LKR,0.757,73
Sudan,Khartoum,30894000,4500,4834,Sudanese pound,SDG,0.473,166
Suriname,Paramaribo,541638,9583,16623,Surinamese dollar,SRD,0.714,103
Swaziland,Mbabane,1018449,3847,9782,Swazi lilangeni,SZL,0.531,150
Swaziland,Lobamba,1018449,3847,9782,Swazi lilangeni,SZL,0.531,150
Sweden,Stockholm,9658301,48966,47319,Swedish krona,SEK,0.907,14
Switzerland,Bern,8139600,78179,59150,Swiss franc,CHF,0.93,3
São Tomé and Príncipe,São Tomé,192993,1715,3403,São Tomé and Príncipe dobra,STD,0.555,143
Tajikistan,Dushanbe,7564500,949,2247,Somoni,TJS,0.624,129
Tanzania,Dodoma,44928923,963,3080,Tanzanian shilling,TZS,0.521,151
Thailand,Bangkok,64785909,5938,16706,Thai baht,THB,0.726,93
The Gambia,Banjul,1882450,371,1715,Gambian dalasi,GMD,0.441,172
Third Hellenic Republic,Athens,10815197,18035,26606,Euro,EUR,0.865,29
Togo,Lomé,5337000,610,1567,CFA franc,XOF,0.473,166
Tonga,Nukuʻalofa,103036,4220,7344,Tongan paʻanga,TOP,0.717,100
Trinidad and Tobago,Port of Spain,1328019,17455,32432,Trinidad and Tobago dollar,TTD,0.772,64
Turkey,Ankara,79463663,9562,21198,Turkish lira,TRY,0.761,72
Ukraine,Kiev,48457102,2052,8230,Ukrainian hryvnia,UAH,0.747,81
Una-Sana Canton,Bihać,299343,4153.19,,Bosnia and Herzegovina convertible mark,,,
United Arab Emirates,Abu Dhabi,4106427,36060,67616,United Arab Emirates dirham,AED,0.835,41
United Kingdom,London,63181775,43902,42514,Pound sterling,GBP; Pound sign£,0.907,14
Uruguay,Montevideo,3286314,15505,21944,Uruguayan peso,UYU,0.793,52
Vanuatu,Port Vila,243304,3036,4916,Vanuatu vatu,VUV,0.594,134
Venezuela,Caracas,31416000,5908,15251,Venezuelan bolívar,VEF,0.762,71
Wallis and Futuna,Mata-Utu,12197,12640,,CFP franc,XPF,0.793,132
West Herzegovina Canton,Široki Brijeg,97893,4976.97,,Bosnia and Herzegovina convertible mark,,,
Yemen,Abd Rabbuh Mansur Hadi,19685000,1437,2927,Yemeni rial,YER,0.5,154
Yemen,Aden,19685000,1437,2927,Yemeni rial,YER,0.5,154
Yemen,Sana'a,19685000,1437,2927,Yemeni rial,YER,0.5,154
Zambia,Lusaka,13092666,,3917,Zambian kwacha,ZMW,0.586,139
Zanzibar,Zanzibar City,1303569,656,,Tanzanian shilling,TZS,,
Zimbabwe,Harare,13061239,1054,2133,Botswana pula,,0.509,155
Zimbabwe,Harare,13061239,1054,2133,United States dollar,,0.509,155
Zimbabwe,Harare,13061239,1054,2133,South African rand,,0.509,155
